N,Triton,Torch
256.000000,482.893254,161.927189
384.000000,529.822618,149.739516
512.000000,572.420544,149.797374
640.000000,589.215285,151.710038
768.000000,601.930630,153.964965
896.000000,613.341523,154.821951
1024.000000,621.929683,156.168292
1152.000000,620.208839,156.287669
1280.000000,626.021006,156.625379
1408.000000,625.099947,157.817985
1536.000000,638.783088,158.701104
1664.000000,640.923190,158.878615
1792.000000,642.222871,159.294939
1920.000000,649.335316,159.779050
2048.000000,650.131583,160.338864
2176.000000,644.065581,160.788884
2304.000000,647.249530,160.861187
2432.000000,651.608491,161.086290
2560.000000,653.884721,161.746945
2688.000000,653.170244,161.977701
2816.000000,654.249661,161.998851
2944.000000,658.680317,162.075682
3072.000000,658.825347,162.332609
3200.000000,658.675347,162.393867
3328.000000,659.085776,162.690724
3456.000000,660.649377,162.956512
3584.000000,660.644506,163.176156
3712.000000,661.890270,163.120032
3840.000000,662.392565,163.280886
3968.000000,663.802898,163.452516
4096.000000,662.849882,163.783947
4224.000000,650.836464,163.842382
4352.000000,653.265482,163.794795
4480.000000,649.759535,164.003329
4608.000000,653.915440,164.151290
4736.000000,654.838647,163.870585
4864.000000,655.086770,164.337999
4992.000000,655.641996,164.352636
5120.000000,656.963845,164.362781
5248.000000,656.518882,164.348125
5376.000000,656.975761,164.746038
5504.000000,658.234870,164.902536
5632.000000,657.939489,164.823525
5760.000000,657.676674,164.736336
5888.000000,658.948760,164.832302
6016.000000,659.707547,164.989646
6144.000000,659.993275,164.078726
6272.000000,660.040006,165.131479
6400.000000,661.472467,165.259608
6528.000000,661.306877,165.359597
6656.000000,662.141261,165.525461
6784.000000,662.886644,165.413426
6912.000000,662.830681,165.665740
7040.000000,663.995767,165.528393
7168.000000,662.825716,165.738391
7296.000000,662.562151,165.597920
7424.000000,663.570703,165.635980
7552.000000,664.381825,165.681931
7680.000000,663.685564,165.745475
7808.000000,665.339663,165.701667
7936.000000,664.713469,165.779724
8064.000000,664.552872,165.926240
8192.000000,659.434107,170.758212
8320.000000,652.426400,167.962049
8448.000000,653.596959,170.516287
8576.000000,654.143084,170.512997
8704.000000,655.370448,170.694407
8832.000000,652.427271,170.563785
8960.000000,654.522646,170.730720
9088.000000,654.374901,170.708845
9216.000000,653.110055,170.920420
9344.000000,653.688426,170.747112
9472.000000,653.703054,170.880045
9600.000000,654.138541,170.953717
9728.000000,654.712733,171.013864
9856.000000,653.384553,170.913302
9984.000000,653.838384,171.019350
10112.000000,653.235961,170.922444
10240.000000,654.544715,171.076951
10368.000000,654.014852,170.804730
10496.000000,654.278930,170.979024
10624.000000,652.425432,170.949236
10752.000000,652.681833,171.161592
10880.000000,653.933275,171.088372
11008.000000,653.758534,171.178737
11136.000000,653.231956,171.143992
11264.000000,654.093687,171.378310
11392.000000,654.345798,171.201002
11520.000000,653.724715,171.315399
11648.000000,653.511810,171.307679
11776.000000,653.897220,171.391825
11904.000000,653.672760,171.282660
12032.000000,653.163507,171.371598
12160.000000,653.512474,169.645151
12288.000000,653.780305,171.497859
12416.000000,653.770826,171.273635
12544.000000,654.064130,171.042931
12672.000000,653.111723,171.270095
