M,N,K,Triton
256.000000,256.000000,256.000000,4.096000
384.000000,384.000000,384.000000,11.059200
512.000000,512.000000,512.000000,23.831273
640.000000,640.000000,640.000000,30.117647
768.000000,768.000000,768.000000,46.565055
896.000000,896.000000,896.000000,46.830935
1024.000000,1024.000000,1024.000000,61.680940
1152.000000,1152.000000,1152.000000,76.563695
1280.000000,1280.000000,1280.000000,73.142856
1408.000000,1408.000000,1408.000000,87.931872
1536.000000,1536.000000,1536.000000,88.473602
1664.000000,1664.000000,1664.000000,82.939284
1792.000000,1792.000000,1792.000000,95.249353
1920.000000,1920.000000,1920.000000,94.040817
2048.000000,2048.000000,2048.000000,93.727466
2176.000000,2176.000000,2176.000000,102.150497
2304.000000,2304.000000,2304.000000,102.964963
2432.000000,2432.000000,2432.000000,100.697004
2560.000000,2560.000000,2560.000000,101.448912
2688.000000,2688.000000,2688.000000,101.154815
2816.000000,2816.000000,2816.000000,101.310590
2944.000000,2944.000000,2944.000000,100.072352
3072.000000,3072.000000,3072.000000,102.764253
3200.000000,3200.000000,3200.000000,101.426312
3328.000000,3328.000000,3328.000000,97.154246
3456.000000,3456.000000,3456.000000,100.400458
3584.000000,3584.000000,3584.000000,99.134944
3712.000000,3712.000000,3712.000000,96.987709
3840.000000,3840.000000,3840.000000,101.553717
3968.000000,3968.000000,3968.000000,100.019622
4096.000000,4096.000000,4096.000000,100.162487
