size,Torch,Triton
4096.000000,12.000000,12.000000
8192.000000,19.200000,24.000000
16384.000000,38.400001,48.000000
32768.000000,76.800002,76.800002
65536.000000,127.999995,153.600004
131072.000000,219.428568,255.999991
262144.000000,341.333321,341.333321
524288.000000,472.615390,472.615390
1048576.000000,558.545450,585.142862
2097152.000000,614.400016,614.400016
4194304.000000,646.736871,646.736871
8388608.000000,664.216187,664.216187
16777216.000000,677.958629,675.628857
33554432.000000,681.501996,681.483502
67108864.000000,685.642544,683.853898
134217728.000000,687.290411,684.896174
